,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2.AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
21277,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/4/2008,Parts per billion,15.043478,35,10,33,Parts per million,0.026125,0.036,13,31,Parts per billion,3.217391,11,15,16,Parts per million,0.304167,0.4,10,5
21281,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/5/2008,Parts per billion,15.434783,28,6,26,Parts per million,0.032375,0.042,11,36,Parts per billion,2.608696,5,5,7,Parts per million,0.275,0.3,0,3
21285,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/6/2008,Parts per billion,11.608696,20,5,19,Parts per million,0.032333,0.043,10,36,Parts per billion,2.391304,7,15,10,Parts per million,0.3,0.3,0,3
21289,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/7/2008,Parts per billion,23.391304,35,10,33,Parts per million,0.020917,0.034,11,29,Parts per billion,2.521739,8,10,11,Parts per million,0.408333,0.6,9,7
21293,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/8/2008,Parts per billion,23.652174,42,6,40,Parts per million,0.026583,0.039,11,33,Parts per billion,2.478261,5,7,7,Parts per million,0.404167,0.5,6,6
21297,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/9/2008,Parts per billion,21.26087,40,6,38,Parts per million,0.026958,0.041,10,35,Parts per billion,2.347826,4,12,6,Parts per million,0.383333,0.6,9,7
21301,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/10/2008,Parts per billion,27.130435,48,22,45,Parts per million,0.023667,0.044,12,37,Parts per billion,3.347826,13,11,19,Parts per million,0.4125,0.6,23,7
21305,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/11/2008,Parts per billion,40.304348,68,8,66,Parts per million,0.025667,0.05,12,42,Parts per billion,3.478261,7,10,10,Parts per million,0.7,1.1,11,13
21309,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/12/2008,Parts per billion,27.913043,61,1,58,Parts per million,0.030833,0.058,10,49,Parts per billion,2.217391,5,22,7,Parts per million,0.554167,0.9,6,10
21313,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,4/13/2008,Parts per billion,24.086957,55,0,52,Parts per million,0.030708,0.056,10,47,Parts per billion,2.130435,4,15,6,Parts per million,0.558333,0.9,4,10
