,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2.AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
18711,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,10/22/2002,Parts per billion,36.956522,53,10,50,Parts per million,0.021417,0.031,14,26,Parts per billion,0.869565,9,10,13,Parts per million,0.529167,0.8,14,9
18715,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,10/23/2002,Parts per billion,34.347826,63,5,61,Parts per million,0.025042,0.041,9,35,Parts per billion,0.043478,1,12,1,Parts per million,0.683333,0.9,8,10
18719,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,10/24/2002,Parts per billion,37.26087,48,8,45,Parts per million,0.021375,0.029,10,25,Parts per billion,0.652174,5,9,7,Parts per million,0.858333,1.1,7,13
18723,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,10/25/2002,Parts per billion,37.26087,53,8,50,Parts per million,0.013792,0.026,9,22,Parts per billion,0.73913,9,9,13,Parts per million,0.820833,1.1,22,13
18727,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,10/26/2002,Parts per billion,35.608696,50,0,47,Parts per million,0.011625,0.025,9,21,Parts per billion,1.130435,4,10,6,Parts per million,1.195833,1.5,7,17
18731,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,10/27/2002,Parts per billion,30.652174,46,21,43,Parts per million,0.017083,0.033,12,28,Parts per billion,0.043478,1,5,1,Parts per million,1.304167,1.7,4,19
18735,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,10/28/2002,Parts per billion,40.826087,80,9,79,Parts per million,0.017542,0.034,22,29,Parts per billion,3.217391,19,10,27,Parts per million,1.433333,2.3,10,26
18739,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,10/29/2002,Parts per billion,30.954545,52,19,49,Parts per million,0.018167,0.032,7,27,Parts per billion,0.772727,4,15,6,Parts per million,0.7625,1.3,23,15
18743,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,10/30/2002,Parts per billion,36,52,22,49,Parts per million,0.017583,0.031,9,26,Parts per billion,0.434783,3,14,4,Parts per million,1.1875,1.5,6,17
18747,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,10/31/2002,Parts per billion,43.782609,55,12,52,Parts per million,0.012292,0.02,13,17,Parts per billion,0.26087,3,12,4,Parts per million,1.466667,1.8,5,20
18751,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,11/1/2002,Parts per billion,41.826087,70,8,68,Parts per million,0.013208,0.025,12,21,Parts per billion,1,8,12,11,Parts per million,1.275,1.9,11,22
18755,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,11/2/2002,Parts per billion,39,56,23,53,Parts per million,0.020208,0.045,10,38,Parts per billion,0.043478,1,9,1,Parts per million,1.308333,1.6,9,18
18759,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,11/3/2002,Parts per billion,45.73913,58,20,55,Parts per million,0.02,0.04,10,34,Parts per billion,0.565217,4,8,6,Parts per million,1.891667,2.7,5,31
18763,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,11/4/2002,Parts per billion,36.347826,55,16,52,Parts per million,0.024042,0.037,8,31,Parts per billion,1,8,15,11,Parts per million,1.004167,1.3,0,15
18767,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,11/5/2002,Parts per billion,58.521739,101,14,101,Parts per million,0.01125,0.023,12,19,Parts per billion,2,14,15,20,Parts per million,1.829167,2.3,11,26
18771,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,11/6/2002,Parts per billion,67.869565,122,10,105,Parts per million,0.007583,0.016,11,14,Parts per billion,2.347826,18,13,26,Parts per million,2.420833,3.9,11,44
18775,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,11/7/2002,Parts per billion,48.73913,71,10,69,Parts per million,0.005667,0.01,8,8,Parts per billion,1.652174,13,12,19,Parts per million,2.145833,2.8,8,32
18779,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,11/8/2002,Parts per billion,23.956522,35,0,33,Parts per million,0.008792,0.013,21,11,Parts per billion,0.173913,1,12,1,Parts per million,1.1125,1.5,0,17
18783,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,11/9/2002,Parts per billion,19.782609,28,7,26,Parts per million,0.009333,0.013,15,11,Parts per billion,0.73913,2,5,3,Parts per million,0.941667,1.1,11,13
18787,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,11/10/2002,Parts per billion,26.869565,43,20,41,Parts per million,0.013833,0.03,9,25,Parts per billion,0.086957,1,8,1,Parts per million,1.025,1.4,23,16
18791,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,11/11/2002,Parts per billion,42.304348,62,16,60,Parts per million,0.007375,0.017,8,14,Parts per billion,0.73913,8,16,11,Parts per million,1.8875,2.7,23,31
18795,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,11/12/2002,Parts per billion,45.956522,59,20,56,Parts per million,0.008917,0.02,8,17,Parts per billion,0,0,0,0,Parts per million,1.958333,2.9,0,33
18799,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,11/13/2002,Parts per billion,54.130435,97,11,97,Parts per million,0.005458,0.012,10,10,Parts per billion,1.73913,10,12,14,Parts per million,2.3125,2.9,6,33
18803,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,11/14/2002,Parts per billion,56.608696,87,23,86,Parts per million,0.003958,0.008,9,7,Parts per billion,4.608696,29,12,41,Parts per million,2.241667,3.5,23,40
18807,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,11/15/2002,Parts per billion,52.391304,86,0,85,Parts per million,0.010042,0.026,9,22,Parts per billion,0.695652,3,7,4,Parts per million,2.829167,4.6,4,52
18811,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,11/16/2002,Parts per billion,50.130435,65,20,63,Parts per million,0.00875,0.021,9,18,Parts per billion,0.478261,4,13,6,Parts per million,1.733333,2.4,0,27
18815,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,11/17/2002,Parts per billion,52.391304,85,12,84,Parts per million,0.006875,0.015,10,13,Parts per billion,1,12,13,17,Parts per million,2.429167,3.4,8,39
18819,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,11/18/2002,Parts per billion,60.26087,78,8,77,Parts per million,0.005417,0.012,8,10,Parts per billion,1.043478,4,20,6,Parts per million,2.541667,3.5,8,40
18823,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,11/19/2002,Parts per billion,65,87,14,86,Parts per million,0.004458,0.009,8,8,Parts per billion,1.956522,11,14,16,Parts per million,2.225,3.1,23,35
18827,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,11/20/2002,Parts per billion,62.608696,104,9,102,Parts per million,0.00725,0.019,8,16,Parts per billion,1.608696,4,7,6,Parts per million,2.704167,3.9,2,44
18831,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,11/21/2002,Parts per billion,57.954545,74,17,72,Parts per million,0.005375,0.012,8,10,Parts per billion,2.434783,15,16,21,Parts per million,1.770833,2.6,23,30
18835,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,11/22/2002,Parts per billion,61.652174,119,10,104,Parts per million,0.007375,0.015,12,13,Parts per billion,3.086957,18,11,26,Parts per million,2.270833,3.5,9,40
18839,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,11/23/2002,Parts per billion,33.434783,48,19,45,Parts per million,0.014958,0.034,8,29,Parts per billion,0.086957,1,7,1,Parts per million,1.025,1.5,7,17
18843,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,11/24/2002,Parts per billion,37.391304,56,12,53,Parts per million,0.012167,0.028,10,24,Parts per billion,1.434783,14,12,20,Parts per million,1.533333,2.2,6,25
18847,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,11/25/2002,Parts per billion,37.130435,52,11,49,Parts per million,0.016167,0.018,7,15,Parts per billion,0,0,0,0,Parts per million,1.191667,1.8,4,20
18851,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,11/26/2002,Parts per billion,40.434783,60,17,57,Parts per million,0.009208,0.017,8,14,Parts per billion,3,18,16,26,Parts per million,1.008333,1.6,22,18
18855,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,11/27/2002,Parts per billion,51.217391,85,8,84,Parts per million,0.003792,0.006,7,5,Parts per billion,2.782609,7,8,10,Parts per million,1.7625,2.9,9,33
18859,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,11/28/2002,Parts per billion,41.956522,61,0,58,Parts per million,0.011958,0.018,7,15,Parts per billion,1.304348,5,17,7,Parts per million,1.85,3.4,3,39
18863,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,11/29/2002,Parts per billion,34.434783,42,6,40,Parts per million,0.008375,0.012,7,10,Parts per billion,0.608696,4,11,6,Parts per million,0.6375,0.8,8,9
18867,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,11/30/2002,Parts per billion,27.73913,36,22,34,Parts per million,0.011292,0.026,10,22,Parts per billion,0.173913,2,15,3,Parts per million,0.654167,1.1,23,13
18871,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,12/1/2002,Parts per billion,29.173913,40,20,38,Parts per million,0.010625,0.026,11,22,Parts per billion,0.173913,1,5,1,Parts per million,1.141667,2,4,23
18875,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,12/2/2002,Parts per billion,39.608696,52,9,49,Parts per million,0.007375,0.017,10,14,Parts per billion,0.652174,3,7,4,Parts per million,1.333333,2.1,8,24
18879,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,12/3/2002,Parts per billion,37.956522,48,20,45,Parts per million,0.006292,0.013,9,11,Parts per billion,0.913043,6,13,9,Parts per million,0.9,1.2,2,14
18883,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,12/4/2002,Parts per billion,55.869565,73,13,71,Parts per million,0.005292,0.01,8,8,Parts per billion,1.73913,4,12,6,Parts per million,1.945833,3,8,34
18887,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,12/5/2002,Parts per billion,63.608696,84,10,83,Parts per million,0.003125,0.005,6,4,Parts per billion,3.217391,16,15,23,Parts per million,2.295833,2.9,8,33
18891,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,12/6/2002,Parts per billion,47.347826,61,9,58,Parts per million,0.0065,0.014,11,12,Parts per billion,3.086957,14,12,20,Parts per million,1.954167,3.3,7,38
18895,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,12/7/2002,Parts per billion,34.608696,43,20,41,Parts per million,0.011625,0.024,10,20,Parts per billion,1.478261,5,13,7,Parts per million,0.691667,1,3,11
18899,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,12/8/2002,Parts per billion,40.391304,59,10,56,Parts per million,0.01125,0.028,10,24,Parts per billion,1.565217,6,10,9,Parts per million,1.433333,2.1,7,24
18903,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,12/9/2002,Parts per billion,45,60,12,57,Parts per million,0.007292,0.014,13,12,Parts per billion,2.086957,7,12,10,Parts per million,1.7375,2.8,7,32
18907,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,12/10/2002,Parts per billion,46.043478,64,13,62,Parts per million,0.005542,0.011,9,9,Parts per billion,2.26087,9,13,13,Parts per million,1.833333,2.4,8,27
18911,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,12/11/2002,Parts per billion,42,44,0,42,Parts per million,0.005125,0.01,9,8,Parts per billion,4.347826,20,13,29,Parts per million,1.995833,2.4,23,27
18915,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,12/18/2002,Parts per billion,43,49,17,46,Parts per million,0.011792,0.027,8,23,Parts per billion,0.913043,2,7,3,Parts per million,0.7375,1.9,23,22
18919,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,12/19/2002,Parts per billion,33.608696,49,8,46,Parts per million,0.0175,0.029,21,25,Parts per billion,1.086957,3,5,4,Parts per million,1.55,2.3,8,26
18923,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,12/20/2002,Parts per billion,28.826087,47,7,44,Parts per million,0.013792,0.026,10,22,Parts per billion,0.869565,3,10,4,Parts per million,0.770833,1.1,10,13
18927,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,12/21/2002,Parts per billion,29.086957,41,0,39,Parts per million,0.010667,0.025,11,21,Parts per billion,0.521739,1,0,1,Parts per million,1.216667,1.8,4,20
18931,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,12/22/2002,Parts per billion,33.913043,45,17,42,Parts per million,0.007333,0.017,9,14,Parts per billion,2.217391,9,12,13,Parts per million,1.154167,1.3,9,15
18935,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,12/23/2002,Parts per billion,39.217391,51,19,48,Parts per million,0.006708,0.016,9,14,Parts per billion,2.391304,5,15,7,Parts per million,1.695833,2.5,9,28
18939,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,12/24/2002,Parts per billion,39.782609,56,19,53,Parts per million,0.008375,0.02,9,17,Parts per billion,1.565217,3,8,4,Parts per million,1.904167,2.8,23,32
18943,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,12/25/2002,Parts per billion,38.304348,52,20,49,Parts per million,0.010042,0.024,10,20,Parts per billion,1.869565,8,14,11,Parts per million,2.129167,3.7,3,42
18947,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,12/26/2002,Parts per billion,49.869565,72,13,70,Parts per million,0.005375,0.012,9,10,Parts per billion,2.173913,12,13,17,Parts per million,2.116667,2.7,4,31
18951,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,12/27/2002,Parts per billion,51.217391,62,14,60,Parts per million,0.004042,0.008,8,7,Parts per billion,1.956522,4,8,6,Parts per million,2.191667,3.2,4,36
18955,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,12/28/2002,Parts per billion,35,48,0,45,Parts per million,0.013042,0.028,21,24,Parts per billion,0.913043,2,0,3,Parts per million,1.625,2.4,2,27
18959,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,12/29/2002,Parts per billion,22.782609,41,22,39,Parts per million,0.016125,0.031,9,26,Parts per billion,0.347826,1,5,1,Parts per million,0.775,1,23,11
18963,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,12/30/2002,Parts per billion,33.956522,46,17,43,Parts per million,0.008208,0.018,8,15,Parts per billion,1.565217,9,15,13,Parts per million,1.3625,1.8,7,20
18967,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,12/31/2002,Parts per billion,34.391304,46,9,43,Parts per million,0.011526,0.023,10,19,Parts per billion,1,3,9,4,Parts per million,1.4875,2.1,8,24
15635,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/1/2003,Parts per billion,34.173913,54,19,51,Parts per million,0.011208,0.028,10,24,Parts per billion,1,2,5,3,Parts per million,1.894444,2.9,6,33
15639,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/2/2003,Parts per billion,47.869565,60,9,57,Parts per million,0.005583,0.013,9,11,Parts per billion,1.695652,5,19,7,Parts per million,2.075,2.6,2,30
15643,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/3/2003,Parts per billion,55.652174,85,14,84,Parts per million,0.002833,0.005,7,4,Parts per billion,2.391304,8,15,11,Parts per million,2.229167,2.7,22,31
15647,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/4/2003,Parts per billion,53.391304,82,13,81,Parts per million,0.004,0.008,8,7,Parts per billion,2.652174,12,13,17,Parts per million,2.275,2.7,0,31
15651,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/5/2003,Parts per billion,65.913043,116,13,104,Parts per million,0.009208,0.03,23,25,Parts per billion,5,33,14,47,Parts per million,3.166667,4.7,5,53
15655,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/6/2003,Parts per billion,17.565217,46,18,43,Parts per million,0.02725,0.034,21,29,Parts per billion,0,0,0,0,Parts per million,1.170833,2.4,0,27
15659,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/7/2003,Parts per billion,20.782609,53,17,50,Parts per million,0.019167,0.034,7,29,Parts per billion,0.565217,8,17,11,Parts per million,0.816667,1.3,23,15
15663,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/8/2003,Parts per billion,37.478261,47,18,44,Parts per million,0.008,0.019,9,16,Parts per billion,1.434783,12,17,17,Parts per million,1.220833,1.5,7,17
15667,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/9/2003,Parts per billion,33.782609,50,17,47,Parts per million,0.007125,0.017,8,14,Parts per billion,1.652174,9,16,13,Parts per million,1.291667,1.5,4,17
15671,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/10/2003,Parts per billion,38.695652,50,17,47,Parts per million,0.003292,0.005,7,4,Parts per billion,1.913043,8,14,11,Parts per million,1.533333,1.8,4,20
15675,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/11/2003,Parts per billion,33.043478,50,9,47,Parts per million,0.007583,0.016,11,14,Parts per billion,0.73913,2,5,3,Parts per million,1.391667,2,9,23
15679,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/12/2003,Parts per billion,29.130435,38,22,36,Parts per million,0.009375,0.021,11,18,Parts per billion,0.913043,4,9,6,Parts per million,1.3,2,7,23
15683,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/13/2003,Parts per billion,44.434783,95,12,95,Parts per million,0.004375,0.008,9,7,Parts per billion,1.913043,18,12,26,Parts per million,1.566667,2.4,12,27
15687,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/14/2003,Parts per billion,48.869565,93,11,93,Parts per million,0.003958,0.006,8,5,Parts per billion,3.826087,25,12,36,Parts per million,2.375,3.4,8,39
15691,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/15/2003,Parts per billion,53.869565,94,9,94,Parts per million,0.005875,0.013,10,11,Parts per billion,1.478261,5,9,7,Parts per million,2.541667,4.1,9,47
15695,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/16/2003,Parts per billion,51.956522,68,16,66,Parts per million,0.00575,0.013,8,11,Parts per billion,2.347826,12,19,17,Parts per million,1.5125,2.1,23,24
15699,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/17/2003,Parts per billion,55,98,13,98,Parts per million,0.003417,0.005,6,4,Parts per billion,3.304348,13,14,19,Parts per million,1.770833,2.2,14,25
15703,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/18/2003,Parts per billion,47.086957,60,10,57,Parts per million,0.010417,0.026,21,22,Parts per billion,1.608696,3,8,4,Parts per million,2.116667,3,5,34
15707,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/19/2003,Parts per billion,30.478261,52,16,49,Parts per million,0.016083,0.022,10,19,Parts per billion,0.956522,5,16,7,Parts per million,0.995833,1.3,11,15
15711,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/20/2003,Parts per billion,33.695652,49,8,46,Parts per million,0.01375,0.028,10,24,Parts per billion,0.73913,4,10,6,Parts per million,1.058333,1.5,10,17
15715,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/21/2003,Parts per billion,36.782609,44,19,42,Parts per million,0.010792,0.023,10,19,Parts per billion,1.652174,5,13,7,Parts per million,1.408333,1.7,11,19
15718,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/22/2003,Parts per billion,41.478261,59,10,56,Parts per million,0.007208,0.013,10,11,Parts per billion,0.695652,3,11,4,Parts per million,1.6,1.6,0,18
15721,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/24/2003,Parts per billion,54.217391,95,12,95,Parts per million,0.004375,0.008,8,7,Parts per billion,2.695652,21,12,30,Parts per million,2.538889,3.9,8,44
15725,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/25/2003,Parts per billion,48.695652,66,8,64,Parts per million,0.009083,0.022,11,19,Parts per billion,1.347826,3,8,4,Parts per million,2.158333,3.5,8,40
15729,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/26/2003,Parts per billion,40,58,0,55,Parts per million,0.012208,0.027,11,23,Parts per billion,2.565217,16,14,23,Parts per million,1.625,3.2,4,36
15733,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/27/2003,Parts per billion,47.73913,67,16,65,Parts per million,0.006208,0.013,11,11,Parts per billion,1.956522,6,16,9,Parts per million,1.729167,2.2,4,25
15737,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/28/2003,Parts per billion,44.478261,56,12,53,Parts per million,0.003333,0.005,7,4,Parts per billion,3.652174,11,12,16,Parts per million,1.6625,2.6,9,30
15741,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/29/2003,Parts per billion,38.521739,58,12,55,Parts per million,0.009417,0.02,9,17,Parts per billion,1.913043,6,8,9,Parts per million,0.670833,0.9,23,10
15745,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/30/2003,Parts per billion,63.217391,109,10,103,Parts per million,0.005417,0.011,9,9,Parts per billion,2.304348,5,9,7,Parts per million,1.904167,3.3,11,38
15749,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,1/31/2003,Parts per billion,53.478261,69,9,67,Parts per million,0.006625,0.015,9,13,Parts per billion,2.043478,4,5,6,Parts per million,1.558333,2.2,8,25
15753,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/5/2003,Parts per billion,41.869565,60,8,57,Parts per million,0.009,0.021,9,18,Parts per billion,1.782609,4,8,6,Parts per million,1.629167,2.4,8,27
15757,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/6/2003,Parts per billion,43.652174,63,17,61,Parts per million,0.012042,0.028,11,24,Parts per billion,2.086957,5,7,7,Parts per million,1.641667,2.5,8,28
15761,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/7/2003,Parts per billion,33.391304,50,0,47,Parts per million,0.017,0.028,9,24,Parts per billion,1.826087,5,7,7,Parts per million,1.366667,2,8,23
15765,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/8/2003,Parts per billion,29.695652,44,22,42,Parts per million,0.016208,0.033,12,28,Parts per billion,3.434783,9,12,13,Parts per million,1.008333,1.2,10,14
15769,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/9/2003,Parts per billion,36.347826,52,23,49,Parts per million,0.014667,0.034,10,29,Parts per billion,3.434783,9,14,13,Parts per million,1.4375,2.1,5,24
15773,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/10/2003,Parts per billion,40.565217,53,17,50,Parts per million,0.01325,0.027,22,23,Parts per billion,3.217391,6,16,9,Parts per million,1.529167,1.9,8,22
15777,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/11/2003,Parts per billion,17.826087,34,8,32,Parts per million,0.018708,0.025,0,21,Parts per billion,2.086957,4,5,6,Parts per million,0.729167,1.2,0,14
15781,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/12/2003,Parts per billion,19.043478,35,20,33,Parts per million,0.012042,0.02,0,17,Parts per billion,2.695652,4,5,6,Parts per million,0.666667,1,23,11
15785,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/13/2003,Parts per billion,25.478261,39,16,37,Parts per million,0.010917,0.017,21,14,Parts per billion,3.695652,7,13,10,Parts per million,0.9625,1.1,11,13
15789,6,37,4002,"3648 N. LONG BEACH BLVD., LONG BEACH",California,Los Angeles,Long Beach,2/14/2003,Parts per billion,28.826087,40,16,38,Parts per million,0.009292,0.019,10,16,Parts per billion,5.086957,12,11,17,Parts per million,0.966667,1.4,23,16
